object_name,luminosity,star_color,koi_pdisposition,koi_disposition
OBJECT NAME WASN'T RECORDED,3.282668609256362e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,4.325103932321401e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,2.3972235235746066e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,9.309938586206912e+25,Orange,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,3.849257468143951e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,3.0402403573656475e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,1.902220498643917e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,3.849257468143951e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,9.672129398466501e+25,Orange,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,2.0557443402239786e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,3.023982376921797e+24,Red,CANDIDATE,CANDIDATE
OBJECT NAME WASN'T RECORDED,3.172228597265793e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,8.42189812762061e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
Kepler-1073 c,3.95626237720554e+26,Yellow,CANDIDATE,CONFIRMED
